0.00,0.00,0.00,0.02,0.00,0.00,0.00,1.00,0.00,0.00
0.00,0.00,0.02,0.00,0.00,0.09,0.06,0.00,0.00,1.00
0.00,0.00,0.02,0.00,0.00,1.00,0.00,1.00,1.00,0.00
0.00,0.00,1.00,0.01,0.00,1.00,1.00,1.00,0.00,1.00
0.01,0.00,0.01,0.01,0.01,0.00,0.01,0.08,0.00,0.01
0.00,0.00,0.88,0.00,0.00,0.10,0.01,0.00,0.01,0.00
0.00,0.00,1.00,0.00,0.00,0.00,0.01,0.05,0.00,0.00
0.00,0.00,0.02,0.01,0.00,0.15,0.01,0.04,0.00,0.00
0.00,0.00,0.01,0.03,0.00,0.01,0.03,1.00,0.00,0.02
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00
0.00,0.00,0.14,0.12,0.00,0.02,0.01,1.00,0.00,0.00
0.00,0.00,0.18,0.00,0.01,0.35,0.00,1.00,0.00,0.01
0.00,0.02,1.00,0.03,0.00,0.01,0.03,1.00,0.00,0.00
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,0.117319337636823,0.030787102005177,0.136909731386895,0.025116786727789,0.189250631490317,0.278925175413977,1,0.039502732330653,0.230540662007141
